GEOID,NAMELSAD,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,county_id,STNAME
48147,Fannin County,5121660278.465011,5113917142.903476,5124923657.361263,5104112899.806773,5165393493.88605,5176347223.075396,5278033740.482166,5399730259.611738,5504794868.727766,5556267868.921355,48147,Texas
20043,Doniphan County,1201899051.1963882,1201569763.7851017,1203406078.8839731,1199641694.9829347,1205509629.7462752,1203313001.4121895,1200479309.4934535,1196692752.4702482,1198116217.2720542,1189041949.7607222,20043,Kansas
48265,Kerr County,7495712889.264108,7493357367.343747,7583288572.374176,7583362248.364064,7740940215.601625,7861397728.794582,7998943893.497066,8110066646.360993,8200478131.1458235,8229421915.44921,48265,Texas
12053,Hernando County,26116994596.27991,26091423236.30194,26343458952.177696,26448017302.582756,26954518759.599823,27487080502.21219,28380183250.954403,29179485915.790157,29817104324.907627,30339344065.47359,12053,Florida
12129,Wakulla County,4654338976.523702,4675404559.512055,4706705727.285236,4722408724.1303835,4830649302.054718,4870574697.421219,4959015463.237924,5009011716.948082,5071107462.841354,5278563992.496975,12129,Florida
12131,Walton County,8337344209.78781,8393176131.404425,8722787535.028442,9016047594.099142,9408203087.456072,9744239566.905642,10175765341.58736,10630826396.209843,11066225682.95729,11588621876.411377,12131,Florida
28017,Chickasaw County,2633306463.9277654,2641642068.623025,2669456678.4065013,2647863284.10149,2676108366.850023,2687677151.972912,2679069140.5435667,2679391478.1702933,2675344386.9616256,2675813745.626004,28017,Mississippi
02130,Ketchikan Gateway Borough,2049419073.1015804,2064103636.9343567,2093987586.4382842,2090081683.4123702,2122250498.6936343,2117076880.5020318,2132025122.4704287,2162080127.683612,2167811217.8795485,2174851597.845237,02130,Alaska
26035,Clare County,4681668590.62754,4679631186.821851,4697096781.408216,4660873015.042889,4725167209.451918,4730435394.354854,4726478981.287584,4776924902.605868,4808579516.565237,4842216887.512415,26035,Michigan
20157,Republic County,745600190.3024831,738452171.4116478,736075758.769842,726090904.0101128,728995045.2330475,724336331.6153499,724673892.5796839,727361639.0226636,727818835.5640632,725315589.3540406,20157,Kansas
12127,Volusia County,74656654129.84198,74639823075.40659,75732983191.21083,76224770258.2364,77914516841.43927,79839230511.00677,82197057856.92459,84062000442.16632,85439078658.72108,86562879754.13309,12127,Florida
40017,Canadian County,17569620037.21896,18023093603.850475,18684061427.539505,19183148043.579952,19884912095.461487,20574056579.61535,21213859951.35711,21880394676.581852,22595864820.545013,23202902026.475487,40017,Oklahoma
13115,Floyd County,14560342638.934538,14515596740.620497,14633051864.148083,14604068780.467722,14741045559.249483,14861564503.573812,15040677412.464106,15238023163.882618,15326750732.415712,15410296574.675215,13115,Georgia
32001,Churchill County,3747327971.431151,3712337336.779774,3697918933.1485324,3644467602.3180137,3663273140.188172,3701562605.9106092,3718095026.4487586,3754180045.329481,3834034476.425824,3897084990.340767,32001,Nevada
31181,Webster County,575129834.9255079,567122814.389526,569520696.9014899,554887594.5686681,560469719.4419866,554994902.5516931,554665615.1404063,547787396.8144469,552904506.6387359,545551220.8967946,31181,Nebraska
